id,nset1,nset2,nset3,nset4,nset5,nset6,nset7,nset8,nset9,nset10,nset11,nset12,mset1,mset2,mset3,mset4,mset5,mset6,mset7,mset8,mset9,mset10,mset11,mset12,TotAmt,TotTrans
41113,0.014492754,0.144927536,0.260869565,0.507246377,0.028985507,0,0.014492754,0.028985507,0,0,0,0,0.004479282,0.062709969,0.2362822,0.547592384,0.070548711,0,0.030235159,0.048152295,0,0,0,0,1096184.73,69
41135,0,0,0,0.571428571,0,0,0,0,0,0.428571429,0,0,0,0,0,0.10300031,0,0,0,0,0,0.89699969,0,0,7425.9,7
41140,0,0.135135135,0,0.297297297,0.189189189,0.027027027,0.081081081,0,0.027027027,0.189189189,0,0.054054054,0,0.33860759,0,0.015822784,0.170886077,0.011603378,0.175105484,0,0.011603378,0.155063293,0,0.121308017,1332853.29,37
41148,0,0.5,0,0,0.25,0.25,0,0,0,0,0,0,0,0.513953478,0,0,0.267441885,0.218604637,0,0,0,0,0,0,101313.45,12
41159,0,0.239130435,0,0.152173913,0.086956522,0.152173913,0.02173913,0.043478261,0,0.173913043,0.130434783,0,0,0.118000001,0,0.286999999,0.063999995,0.103000004,0.014999997,0.051999995,0,0.036999999,0.32400001,0,776520.84,46
41165,0,0.222222222,0,0.666666667,0.111111111,0,0,0,0,0,0,0,0,0.457000003,0,0.48200002,0.060999978,0,0,0,0,0,0,0,87779.54,9
41166,0,0.398550725,0.384057971,0.028985507,0.028985507,0.036231884,0.02173913,0.014492754,0,0.079710145,0,0.007246377,0,0.443548389,0.399193546,0.013104837,0.030241937,0.034274193,0.018145162,0.009072581,0,0.020161293,0,0.032258062,1696521.64,138
41194,0,0,0.285714286,0,0,0.071428571,0,0,0,0.642857143,0,0,0,0,0.107999983,0,0,0.061999999,0,0,0,0.830000018,0,0,273385.97,14
41221,0,0.125,0.21875,0.0625,0.03125,0,0.03125,0.0625,0.15625,0.3125,0,0,0,0.038176031,0.242841995,0.29162248,0,0,0.158006364,0.053022269,0.170731704,0.045599156,0,0,819091.69,32
41223,0,0.014084507,0.042253521,0.042253521,0.14084507,0,0.014084507,0.014084507,0,0.690140845,0,0.042253521,0,0.013292434,0.159509203,0.072597137,0.068507157,0,0.006134968,0.012269939,0,0.666666667,0,0.001022496,3288512.76,71
41235,0,0.333333333,0.266666667,0.4,0,0,0,0,0,0,0,0,0,0.259574478,0.736170207,0.004255315,0,0,0,0,0,0,0,0,255804.81,15
41239,0,0,0.041666667,0.583333333,0.25,0,0,0.083333333,0,0.041666667,0,0,0,0,0.157657654,0.06156155,0.633633649,0,0,0.130630617,0,0.01651653,0,0,235292.16,24
41246,0,0.375,0,0.25,0,0.25,0,0,0,0.125,0,0,0,0.333333333,0,0.178160931,0,0.206896553,0,0,0,0.281609182,0,0,194858.49,8
41258,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,116552.22,33
41296,0,0.021276596,0,0,0,0.361702128,0,0,0,0.617021277,0,0,0,0,0,0,0,0.335999999,0,0,0,0.664000001,0,0,1065822.74,47
41308,0,0.058823529,0,0.352941176,0.029411765,0.176470588,0,0.029411765,0,0.323529412,0,0.029411765,0,0.037671238,0,0.106164394,0.0239726,0.309931491,0,0.044520556,0,0.323630129,0,0.154109593,302422.77,34
41312,0,0.34375,0.34375,0,0.03125,0.0625,0.03125,0.1875,0,0,0,0,0,0.617617635,0.200200203,0,0.076076066,0.018018018,0.036036035,0.052052043,0,0,0,0,408054.88,32
41313,0.046511628,0.511627907,0,0.046511628,0.186046512,0.069767442,0.069767442,0.023255814,0,0.046511628,0,0,0.121287126,0.511138615,0,0.061881185,0.092821782,0.055693071,0.12747525,0.013613864,0,0.016089107,0,0,952451.87,43
